Codigo Ditrator,Codigo Casa Dos Rolamentos,Codigo Romar Mann,Codigo Indagril,Codigo Primus,Codigo Agromann,Codigo Tidy,Nome Fantasia,Razão Social,Rota,Cidade,Estado,Empresas Trabalhadas
,10000,,,,,10881,,"2 D.M. IMPORTAÇÃO, EXPORTAÇÃO E COMERCIO DE ROLAMENTOS, PEÇAS E REDUTORES LTDA",Rota C - Litoral Sul,Joaçaba,SC,Casa Dos Rolamentos - Primus
1488301,,,,,,10986,,30.774.495 RENAN KASPER REX,Rota 2 - São Miguel,Pinhalzinho,SC,Ditrator
1599801,,,,,,10992,,37.391.964 ALINE PEITER DE MOURA,Rota 2 - São Miguel,Pinhalzinho,SC,Ditrator
1478001,,,,,,10984,,47.616.973 MOISES JUNIOR HAUPENTHAL CERVELIN,Rota A - Oeste,Peritiba,SC,Ditrator
1525001,,,,,,11740,,49.334.852 JAILTON KARISSON VIEIRA,Rota 4 - Parana 1,Marmeleiro,PR,Ditrator
1494701,,,,,,10999,,49.745.280 MARLETE TEREZINHA BERTOL,Rota A - Oeste,Lindoia Do Sul,SC,Ditrator
1496701,,,,,,10990,,49.764.122 MARCELO MULLER,Rota 2 - São Miguel,Bom Jesus Do Oeste,SC,Ditrator
1529901,,,,,,11734,,50.572.117 ALENCAR CHIMELLO ZEVIESCHI,Rota 0 - Chapecó,Chapecó,SC,Ditrator
1507501,,,,,,11010,,50.667.362 JULIANO RODRIGO DA LUZ,Rota 5 - Parana 2,Palmas,PR,Ditrator
1533001,,,,,,11741,,51.459.335 HENRIQUE MATHIAS ANSCHAU,Rota 2 - São Miguel,Tunápolis,SC,Ditrator
1547701,,,,,,11756,,51.675.253 CLEIMAR LUIZ JOHANN,Rota 2 - São Miguel,Maravilha,SC,
1542801,,,,,,11761,,52.127.079 ELIZETE JOZIAS DA ROCHA WOSNIAK,Rota 5 - Parana 2,Dois Vizinhos,PR,
1602301,,,,,,11759,,52.131.391 LEONARDO DE MELLO,Rota 2 - São Miguel,Pinhalzinho,SC,
1532901,,,,,,11742,,52.846.754 DJONSON BERWANGER,Rota 1 - Itapiranga,Mondaí,SC,Ditrator
,,1794,,,,11745,,1794 ALEXANDRE ACORDI NETO 91218,Rota C - Litoral Sul,Nova Veneza,SC,Romar Mann
,,5181,,,,11736,,5181 NEW PECAS COMERCIO DE PECAS,Rota B - Litoral Norte,Rio do Sul,SC,Romar Mann
228801,10001,280,,,,10020,,A. A. COMERCIO DE PECAS AGRICOLAS LTDA - Pranchita,Rota 4 - Parana 1,Pranchita,PR,Ditrator - Casa Dos Rolamentos - Romar Mann
228802,10002,2163,,,,10429,,A. A. COMERCIO DE PECAS AGRICOLAS LTDA - Santa Izabel Do Oeste,Rota 4 - Parana 1,Santa Izabel Do Oeste,PR,Ditrator - Casa Dos Rolamentos - Romar Mann
,10390,6076,,,,10277,,ABEL HAUBRICHT,Rota D - Paraná,Rebouças,PR,Casa Dos Rolamentos - Romar Mann - Primus
,10003,,,,,10103,,ABH PECAS E ACESSORIOS AGRICOLAS LTDA,Rota 5 - Parana 2,Chopinzinho,PR,Casa Dos Rolamentos
,,,,,,11026,,AC COMERCIO,Rota 2 - São Miguel,Pinhalzinho,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11273,,ACESSO RETIFICA DE MOTORES,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10004,,,,,10788,,ADAIR ANTONIO MALLMANN EPP,Rota 1 - Itapiranga,Mondai,SC,Casa Dos Rolamentos
,,,,,,11027,,ADAO LEMOS PADILHA - ME,Rota C - Litoral Sul,Joaçaba,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
1132301,,,,,,10638,,ADELMAR ALBERTO GROTTO 09381195919,Rota A - Oeste,Presidente Castello Branco,SC,Ditrator
,,,,,,11028,,ADEMIR EVERLING,Rota C - Litoral Sul,Lages,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
301001,,,,,,10599,,ADEMIR ROGOWSKI 62500791904,Rota A - Oeste,Concórdia,SC,Ditrator - Casa Dos Rolamentos
263101,,,,,,10535,,ADILSO CUNICO,Rota A - Oeste,Xaxim,SC,Ditrator
831801,,,,,,10776,,ADILSON LAUERMANN 08851113971,Rota 0 - Chapecó,Chapecó,SC,Ditrator
504501,,,,,,10776,,ADILSON LAUERMANN 08851113971 - Antigo,Rota 0 - Chapecó,Chapecó,SC,Ditrator
,,,,,,11029,,ADIR HECKLER,Rota C - Litoral Sul,Joaçaba,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10005,,,,,10954,,ADRIANA CAMILA POZZOBON 07656216901,Rota 4 - Parana 1,Pranchita,PR,Casa Dos Rolamentos
1253401,,,,,,10692,,ADRIANO ANTONIO ALMEIDA NEUMANN 06190926967,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator
331701,10006,,,,,10547,,ADRIANO PADILHA 05864034932,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos
1520501,,,,,,11002,,AGH INDUSTRIAL LTDA,Rota 3 - São Lourenço,Jupiá,SC,Ditrator
124702,10007,2302,1697,,,10114,,AGL INDUSTRIA MECANICA LTDA ME,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus
,10008,1283,2070,,,10235,,AGM - PECAS E LUBRIFICANTES LTDA.,Rota D - Paraná,Mafra,SC,Casa Dos Rolamentos - Romar Mann - Indagril - Primus
803101,10009,1273,2554,,,10169,,AGRICOLA FANTON LTDA - ME,Rota 4 - Parana 1,Guarujá Do Sul,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril
656301,,,,,,10494,,AGRICOLA TRATOR SOLO LTDA EPP,Rota 1 - Itapiranga,São Carlos,SC,Ditrator
1468501,,,,,,10975,,AGRIPATO MANUTENCOES E TECNOLOGIA AGRICOLA LTDA,Rota 5 - Parana 2,Pato Branco,PR,Ditrator
,,670,1129,,,10201,,AGRITERRA DISTRIBUIDORA DE PECAS E IMPLEMENTOS AGRICOLA LTDA,Rota C - Litoral Sul,Araranguá,SC,Romar Mann - Indagril - Casa Dos Rolamentos - Primus
,10374,,,,,10047,,AGRO10 MAQUINAS AGRICOLAS LTDA,Rota C - Litoral Sul,Campos Novos,SC,Casa Dos Rolamentos - Primus
680001,10010,1563,2192,,,10172,,AGRO DIESEL PIVETTA LTDA - ME,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril
,10011,159,,,,10195,,"AGRO DIVEL INDUSTRIA, COMERCIO E REPRESENTACOES DE MAQUINAS - Campos Novos",Rota C - Litoral Sul,Campos Novos,SC,Casa Dos Rolamentos - Romar Mann - Indagril - Agromann
,,2036,3635,,,10256,,"AGRO DIVEL INDUSTRIA, COMERCIO E REPRESENTACOES DE MAQUINAS - Lages",Rota C - Litoral Sul,Lages,SC,Casa Dos Rolamentos - Romar Mann - Indagril - Agromann
,,675,3028,,,10232,,"AGRO DIVEL INDUSTRIA, COMERCIO E REPRESENTACOES DE MAQUINAS - Rio Do Sul",Rota B - Litoral Norte,Rio Do Sul,SC,Casa Dos Rolamentos - Romar Mann - Indagril - Agromann
,10012,,,,,10942,,AGRO NZ COMERCIAL AGRICOLA LTDA,Rota A - Oeste,Fraiburgo,SC,Casa Dos Rolamentos - Primus
,23398,2944,3730,,,11716,,AGRO PECAS MAFRA LTDA,Rota D - Paraná,Mafra,SC,Romar Mann - Indagril
1493701,10383,,3700,,,10148,,AGRO PEÇAS SMO LTDA,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator - Casa Dos Rolamentos - Indagril
170601,,,,,,10536,,AGRO VALENTE COMERCIO DE MAQUINAS AGRICOLAS LTDA - ME,Rota 5 - Parana 2,Pato Branco,PR,Ditrator
547801,,,,,,10624,,AGROCESAR EQUIPAMENTOS AGRICOLAS LTDA ME,Rota 3 - São Lourenço,São Lourenço do Oeste,SC,Ditrator
,10013,,,,,10141,,AGROFER AGRICOLA FERRARI LTDA,Rota 2 - São Miguel,São Miguel do Oeste,SC,Casa Dos Rolamentos
,,,,,,11030,,AGROMAQ MANUTENCAO DE MAQUINAS  ME,Rota A - Oeste,Capinzal,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
522002,,276,,,,10191,,AGROMAQUINAS CHAPECO LTDA - ME,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Romar Mann
