Cidade,Estado,Rota,Latitude,Longitude,,
Chapecó,SC,Rota 0 - Chapecó,-270.922.364,-526.166.878,,
Águas de Chapecó,SC,Rota 1 - Itapiranga,-270.741.119,-529.879.048,,
Caibi,SC,Rota 1 - Itapiranga,-270.751.925,-532.502.133,,
Caxambu do Sul,SC,Rota 1 - Itapiranga,-271.615.046,-528.796.675,,
Guatambu,SC,Rota 1 - Itapiranga,-271.333.139,-527.852.104,,
Iporã do Oeste,SC,Rota 1 - Itapiranga,-26.988.409,-535.344.408,,
Itapiranga,SC,Rota 1 - Itapiranga,-271.724.236,-537.118.989,,
Mondaí,SC,Rota 1 - Itapiranga,-271.020.777,-53.399.242,,
Palmitos,SC,Rota 1 - Itapiranga,-270.711.023,-531.596.594,,
Planalto Alegre,SC,Rota 1 - Itapiranga,-270.721.133,-528.667.023,,
Riqueza,SC,Rota 1 - Itapiranga,-270.697.574,-533.225.281,,
São Carlos,SC,Rota 1 - Itapiranga,-27.081.863,-530.051.018,,
São João do Oeste,SC,Rota 1 - Itapiranga,-270.981.223,-535.931.508,,
Independência,RS,Rota 1 - Itapiranga,,,,
Águas Frias,SC,Rota 2 - São Miguel,-268.817.187,-528.599.756,,
Bandeirante,SC,Rota 2 - São Miguel,-267.673.451,-536.391.722,,
Barra Bonita,SC,Rota 2 - São Miguel,-266.526.364,-534.419.581,,
Belmonte,SC,Rota 2 - São Miguel,-268.448.262,-53.578.916,,
Bom Jesus do Oeste,SC,Rota 2 - São Miguel,-266.929.713,-530.967.453,,
Cunha Porã,SC,Rota 2 - São Miguel,-268.927.163,-531.716.516,,
Cunhataí,SC,Rota 2 - São Miguel,-269.735.014,-530.914.014,,
Descanso,SC,Rota 2 - São Miguel,-268.246.854,-535.017.586,,
Flor do Sertão,SC,Rota 2 - São Miguel,-267.784.693,-533.478.823,,
Guaraciaba,SC,Rota 2 - São Miguel,-266.001.986,-535.216.209,,
Iraceminha,SC,Rota 2 - São Miguel,-268.237.077,-53.272.834,,
Maravilha,SC,Rota 2 - São Miguel,-267.623.898,-531.747.387,,
Modelo,SC,Rota 2 - São Miguel,-267.752.383,-530.525.513,,
Nova Erechim,SC,Rota 2 - São Miguel,-269.027.688,-529.071.258,,
Nova Itaberaba,SC,Rota 2 - São Miguel,-269.406.956,-528.132.923,,
Paraíso,SC,Rota 2 - São Miguel,-266.180.705,-536.743.943,,
Pinhalzinho,SC,Rota 2 - São Miguel,-26.852.586,-529.872.478,,
Romelândia,SC,Rota 2 - São Miguel,-266.783.317,-533.189.986,,
Santa Helena,SC,Rota 2 - São Miguel,-269.388.476,-536.194.274,,
São Miguel da Boa Vista,SC,Rota 2 - São Miguel,-266.911.028,-532.522.818,,
São Miguel do Oeste,SC,Rota 2 - São Miguel,-267.278.977,-535.176.689,,
Saudades,SC,Rota 2 - São Miguel,-269.261.779,-530.046.945,,
Serra Alta,SC,Rota 2 - São Miguel,-267.291.439,-530.440.668,,
Sul Brasil,SC,Rota 2 - São Miguel,-267.379.101,-529.650.177,,
Tigrinhos,SC,Rota 2 - São Miguel,-266.869.135,-531.570.085,,
Tunápolis,SC,Rota 2 - São Miguel,-2.697.073,-536.382.084,,
Abelardo Luz,SC,Rota 3 - São Lourenço,-265.705.893,-523.280.339,,
Anchieta,SC,Rota 3 - São Lourenço,-265.350.527,-533.293.938,,
Bom Jesus,SC,Rota 3 - São Lourenço,-267.350.604,-523.916.519,,
Campo Erê,SC,Rota 3 - São Lourenço,-263.947.432,-530.790.495,,
Coronel Freitas,SC,Rota 3 - São Lourenço,-269.058.932,-527.028.055,,
Coronel Martins,SC,Rota 3 - São Lourenço,-265.124.719,-526.681.763,,
Entre Rios,SC,Rota 3 - São Lourenço,-267.236.463,-525.638.445,,
Formosa do Sul,SC,Rota 3 - São Lourenço,-266.478.829,-527.934.366,,
Galvão,SC,Rota 3 - São Lourenço,-264.553.595,-526.869.755,,
Ipuaçu,SC,Rota 3 - São Lourenço,-266.349.873,-524.555.915,,
Irati,SC,Rota 3 - São Lourenço,-266.577.742,-528.929.851,,
